Simulation,Iteration,S=0,S=1,S=2
1,0,0.299485208,0.418233771,0.282281022
1,1,0.277518979,0.399415346,0.323065675
1,2,0.269446818,0.380577379,0.349975803
1,3,0.251971873,0.389827977,0.35820015
1,4,0.238805258,0.376889448,0.384305294
1,5,0.223871247,0.376397932,0.399730821
1,6,0.204592232,0.379755615,0.415652152
1,7,0.197540307,0.365733846,0.436725847
1,8,0.189882771,0.377295275,0.432821954
1,9,0.181293846,0.360216098,0.458490056
1,10,0.170994175,0.355399616,0.473606209
1,11,0.155315812,0.366043837,0.478640351
1,12,0.148477884,0.353374125,0.498147992
1,13,0.144491462,0.35788437,0.497624168
1,14,0.122039889,0.364464533,0.513495577
1,15,0.134680349,0.354289242,0.511030409
1,16,0.116725944,0.344770495,0.538503561
1,17,0.120181464,0.333683764,0.546134772
1,18,0.11720028,0.333623017,0.549176703
1,19,0.10397454,0.33998123,0.55604423
1,20,0.105487352,0.3477937,0.546718947
1,21,0.099477912,0.3339982,0.566523889
1,22,0.090810669,0.342382103,0.566807229
1,23,0.085925678,0.350999519,0.563074803
1,24,0.089961807,0.354472499,0.555565694
1,25,0.080406065,0.338204862,0.581389073
1,26,0.079827593,0.33250288,0.587669526
1,27,0.061794359,0.322835553,0.615370087
1,28,0.069423724,0.327463945,0.603112332
1,29,0.058046207,0.328163788,0.613790005
1,30,0.062862033,0.325574325,0.611563642
1,31,0.062408308,0.32995132,0.607640372
1,32,0.062295335,0.33333915,0.604365515
1,33,0.0500216,0.345150038,0.604828362
1,34,0.048729842,0.327742243,0.623527915
1,35,0.048155518,0.330732845,0.621111637
1,36,0.041819064,0.316253032,0.641927904
1,37,0.0481821,0.331844815,0.619973084
1,38,0.04224164,0.310079206,0.647679154
1,39,0.040007681,0.323481967,0.636510352
1,40,0.041437429,0.326510259,0.632052312
1,41,0.036421274,0.314429709,0.649149017
1,42,0.031163467,0.319063914,0.649772618
1,43,0.03284736,0.306851629,0.660301011
1,44,0.028643779,0.307841318,0.663514903
1,45,0.031062465,0.30512967,0.663807865
1,46,0.033282708,0.320823661,0.645893631
1,47,0.027949664,0.317546692,0.654503644
1,48,0.029175341,0.29725262,0.673572039
1,49,0.028508379,0.327029716,0.644461905
1,50,0.029008709,0.313412352,0.657578939
1,51,0.028400509,0.308264619,0.663334872
1,52,0.029384991,0.300204899,0.67041011
1,53,0.027789957,0.308380734,0.663829308
1,54,0.028856951,0.307984768,0.663158281
1,55,0.028366887,0.310196573,0.661436539
1,56,0.028324683,0.309079034,0.662596283
1,57,0.028557305,0.311260444,0.660182252
1,58,0.029566565,0.301222587,0.669210848
1,59,0.02877951,0.295974662,0.675245828
1,60,0.029184808,0.294741156,0.676074036
1,61,0.02855329,0.301262648,0.670184062
1,62,0.028802005,0.297034597,0.674163398
1,63,0.028524658,0.299734164,0.671741178
1,64,0.028194834,0.295254128,0.676551038
1,65,0.029603316,0.280484071,0.689912614
1,66,0.028741536,0.300356431,0.670902033
1,67,0.029221925,0.30000539,0.670772685
1,68,0.029213564,0.285589315,0.685197121
1,69,0.028875865,0.287750374,0.683373761
1,70,0.029296523,0.285839048,0.684864428
1,71,0.028869963,0.287337741,0.683792296
1,72,0.029352891,0.281000239,0.68964687
1,73,0.029469433,0.288980418,0.681550148
1,74,0.029162492,0.280496354,0.690341154
1,75,0.029492122,0.277266934,0.693240944
1,76,0.029257074,0.279648718,0.691094208
1,77,0.028782202,0.297797955,0.673419843
1,78,0.029816717,0.273282946,0.696900338
1,79,0.029490934,0.273089582,0.697419484
1,80,0.029767182,0.269995044,0.700237774
1,81,0.029210398,0.264490963,0.706298639
1,82,0.0291214,0.275600386,0.695278214
1,83,0.029261708,0.274476041,0.696262251
1,84,0.029721283,0.270135388,0.70014333
1,85,0.030006106,0.281532377,0.688461517
1,86,0.029755157,0.275365535,0.694879308
1,87,0.030034713,0.266866909,0.703098378
1,88,0.030382303,0.254530797,0.7150869
1,89,0.029643408,0.270199013,0.700157579
1,90,0.029677187,0.262477914,0.707844899
1,91,0.029876783,0.261265945,0.708857272
1,92,0.029801872,0.254255245,0.715942884
1,93,0.029922611,0.265849828,0.704227561
1,94,0.029914625,0.260317787,0.709767587
1,95,0.030108313,0.254608262,0.715283425
1,96,0.030485731,0.246213851,0.723300418
1,97,0.029530722,0.259584487,0.710884792
1,98,0.029850576,0.256281325,0.7138681
1,99,0.030649705,0.258023549,0.711326746
2,0,0.297835078,0.406752313,0.295412609
2,1,0.278592781,0.389398776,0.332008442
2,2,0.276909519,0.376472566,0.346617915
2,3,0.254189862,0.379763122,0.366047016
2,4,0.232672567,0.375502156,0.391825277
2,5,0.224399066,0.382584398,0.393016535
2,6,0.214287793,0.375513088,0.410199118
2,7,0.202467584,0.359253987,0.438278429
2,8,0.185606428,0.363724821,0.450668751
2,9,0.183632642,0.354063042,0.462304316
2,10,0.167241009,0.357300155,0.475458836
2,11,0.155093049,0.35569711,0.489209842
2,12,0.151438556,0.364008298,0.484553146
2,13,0.149602415,0.361108082,0.489289503
2,14,0.139367058,0.350779505,0.509853437
2,15,0.124347231,0.352024322,0.523628448
2,16,0.122693969,0.349171997,0.528134035
2,17,0.124539655,0.336410551,0.539049794
2,18,0.119167919,0.345626328,0.535205753
2,19,0.110816911,0.342368852,0.546814238
2,20,0.103112633,0.333202362,0.563685005
2,21,0.104331151,0.339289286,0.556379562
2,22,0.086974837,0.351408084,0.561617079
2,23,0.091232455,0.327240592,0.581526953
2,24,0.081603571,0.324354856,0.594041573
2,25,0.081000689,0.334336367,0.584662944
2,26,0.076790223,0.348232761,0.574977016
2,27,0.071222053,0.336207999,0.592569948
2,28,0.06683625,0.330313942,0.602849808
2,29,0.06332579,0.33273414,0.60394007
2,30,0.054013009,0.338079777,0.607907214
2,31,0.062052714,0.318698194,0.619249092
2,32,0.051665495,0.322206215,0.62612829
2,33,0.062016348,0.322954642,0.61502901
2,34,0.050478526,0.322767955,0.62675352
2,35,0.055055269,0.321816213,0.623128518
2,36,0.039117539,0.336702851,0.624179609
2,37,0.047791913,0.314015611,0.638192477
2,38,0.045137612,0.333932103,0.620930285
2,39,0.045616095,0.323058724,0.631325181
2,40,0.031683486,0.314036811,0.654279703
2,41,0.033988995,0.303129948,0.662881057
2,42,0.037890037,0.315106001,0.647003962
2,43,0.033697301,0.322637197,0.643665502
2,44,0.032759768,0.319254364,0.647985868
2,45,0.028375133,0.312797722,0.658827145
2,46,0.035462316,0.303978976,0.660558708
2,47,0.039622671,0.304160321,0.656217008
2,48,0.02895511,0.311988318,0.659056571
2,49,0.028836295,0.303390285,0.66777342
2,50,0.028149396,0.300498226,0.671352378
2,51,0.028496099,0.319191248,0.652312653
2,52,0.028583473,0.29869703,0.672719497
2,53,0.028111199,0.305293035,0.666595767
2,54,0.028543886,0.310001874,0.66145424
2,55,0.029172006,0.297428682,0.673399312
2,56,0.030369334,0.293684049,0.675946616
2,57,0.028337015,0.306347504,0.665315481
2,58,0.028812055,0.290870731,0.680317214
2,59,0.028228886,0.29172785,0.680043264
2,60,0.028204719,0.30977313,0.662022151
2,61,0.028889857,0.305629731,0.665480412
2,62,0.028818242,0.294823022,0.676358735
2,63,0.028592665,0.298271781,0.673135554
2,64,0.028588007,0.288234847,0.683177146
2,65,0.028726027,0.298460994,0.672812979
2,66,0.029690831,0.276656533,0.693652637
2,67,0.029450131,0.291646799,0.67890307
2,68,0.029493448,0.271444228,0.699062324
2,69,0.02813127,0.27856343,0.693305299
2,70,0.02925413,0.284328311,0.68641756
2,71,0.02865482,0.292309292,0.679035888
2,72,0.029149566,0.289578945,0.681271489
