Alpha,SO_Mild_Alpha,SO_Mandatory_Alpha,Beta,SO_Mild_Beta,SO_Mandatory_Beta
0.3,48960.10533191968,60605.51686464548,0.1,50182.78576616181,61421.23998635874
0.3,50112.73157722785,61462.96490755528,0.1,50453.60488446756,60528.80341649092
0.3,49942.07969153453,60687.24615155712,0.1,50644.09235957906,61690.03676485001
0.3,50388.588202882835,60756.70406049376,0.1,50325.38329265964,61530.85641634256
0.3,50421.971895908646,60090.89534593707,0.1,50654.05598728008,61922.746111285385
0.3,49511.816833116274,60359.719584721664,0.1,50548.15380316566,61800.545919580116
0.3,48912.96680515346,60480.210204866016,0.1,50443.32362209057,62383.66098074759
0.3,49670.208453795894,60661.10666681387,0.1,50381.579200680055,61057.50043783385
0.3,49867.46560549838,59992.28359368268,0.1,50549.75394027803,61035.99054724471
0.3,50655.42843150453,60541.25955210399,0.1,49975.67178305308,61763.80117712894
0.3,50431.42942071264,60591.75723037704,0.1,49068.67564315765,61041.233322000306
0.3,50231.997565603524,59819.50213767428,0.1,49929.11804272413,61471.08470009693
0.3,50639.05175197815,60939.34082518815,0.1,49505.4421651344,61673.92542247246
0.3,49990.579849663765,60644.00104693663,0.1,50928.04496341376,60583.69097738246
0.3,50501.302930113125,60313.99989794477,0.1,50695.301351416456,61658.0296419101
0.3,49208.45979266774,60323.36801280834,0.1,51070.15018720809,60665.53533169177
0.3,50076.19474607737,60483.78010396332,0.1,49795.20267874838,62151.32461083504
0.3,50658.78307866438,60020.04880554035,0.1,50189.055147340194,61136.29791249572
0.3,49583.35468476661,59970.97674916121,0.1,50916.54726187644,60815.39948836526
0.3,50214.37054752874,59736.983123463084,0.1,50467.07529345694,61845.87214637653
0.3,50371.87819901665,60033.55773934527,0.1,49889.44889132874,61149.997835302245
0.3,49613.44882012274,61385.112629995616,0.1,50036.638190005455,61013.03229055413
0.3,50616.28986434784,60559.60665887845,0.1,51192.824290065335,62102.531816983035
0.3,49344.480924728654,61507.21122832543,0.1,50728.91706471273,61666.10484231373
0.3,49901.839223782066,60623.79048823411,0.1,50852.42745061705,61063.83201195541
0.3,50455.96688455573,59518.55239673003,0.1,50719.07525209175,60752.345804929704
0.3,49679.981334084194,60465.96262998314,0.1,50120.71525504269,61356.59922679461
0.3,50065.35985585572,59848.196578965166,0.1,50069.51450317632,60763.6364584154
0.3,50163.16883065714,60516.87020196927,0.1,50244.051086271524,61973.16686259595
0.3,50833.65882451296,61000.145394502855,0.1,51378.56957694686,61383.71998652287
0.3,49865.37210636233,60401.96525652433,0.1,50891.09946227241,61118.25293892763
0.3,50507.248385161445,60641.812144325224,0.1,49567.176603390224,60953.23875968247
0.3,49314.43329465688,61546.89541764514,0.1,50445.8279836629,61470.48464099973
0.3,49505.06565354235,61739.48477169971,0.1,50549.51194754091,61259.17719274127
0.3,50213.97746103982,60182.2793551637,0.1,50312.68348399726,61571.93127235613
0.3,48816.48365794061,60888.38223462418,0.1,49918.05411081318,61801.03135566574
0.3,49224.8447071904,60678.64727918411,0.1,50306.8245556168,62433.549126346974
0.3,50966.81635126119,59931.16056738494,0.1,50442.34223012014,61159.91213831331
0.3,50369.027706036504,60094.20019257106,0.1,50318.65690544555,61164.89869538893
0.3,50566.57476838445,60532.9113399774,0.1,50903.61402921237,61378.861899304764
0.3,49990.468301073226,61103.64415573761,0.1,51093.54083298075,61632.21073346689
0.3,50312.646220575116,60097.655480737754,0.1,50615.74622974198,61586.47716779933
0.3,50893.55671087715,59732.08675799024,0.1,51198.17344408186,61728.3479815255
0.3,50137.848547823814,60088.56765455535,0.1,50740.278496720275,61611.371277504295
0.3,49256.38764622107,59932.90949510014,0.1,50023.65758217409,62685.84809312748
0.3,49975.380240079685,60674.86338207428,0.1,50864.06286031557,61713.9573462775
0.3,50529.46591559971,61238.018254696835,0.1,50585.65380597769,60251.21594815778
0.3,50138.84357355202,60278.4033605646,0.1,50467.32820736797,61437.973568030655
0.3,50519.50865350229,60192.67925787887,0.1,50188.58108905691,60984.22339593293
0.3,49202.19273548433,60969.50575622133,0.1,50430.37401872036,61785.76442177402
0.34444444444444444,50884.178148128965,60422.42750929647,0.14444444444444446,51316.7660264093,61618.81481080318
0.34444444444444444,51202.633803971716,61124.859492751275,0.14444444444444446,50405.19952593842,61352.141063260446
0.34444444444444444,50439.203211204665,60574.990283932864,0.14444444444444446,50738.65589001891,61642.3483955046
0.34444444444444444,50730.866606344,60071.14426976194,0.14444444444444446,50906.36848197594,61313.653391375105
