Simulation_ID,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_31,Iteration_32,Iteration_33,Iteration_34,Iteration_35,Iteration_36,Iteration_37,Iteration_38,Iteration_39,Iteration_40,Iteration_41,Iteration_42,Iteration_43,Iteration_44,Iteration_45,Iteration_46,Iteration_47,Iteration_48,Iteration_49,Iteration_50,Iteration_51,Iteration_52,Iteration_53,Iteration_54,Iteration_55,Iteration_56,Iteration_57,Iteration_58,Iteration_59,Iteration_60,Iteration_61,Iteration_62,Iteration_63,Iteration_64,Iteration_65,Iteration_66,Iteration_67,Iteration_68,Iteration_69,Iteration_70,Iteration_71,Iteration_72,Iteration_73,Iteration_74,Iteration_75,Iteration_76,Iteration_77,Iteration_78,Iteration_79,Iteration_80,Iteration_81,Iteration_82,Iteration_83,Iteration_84,Iteration_85,Iteration_86,Iteration_87,Iteration_88,Iteration_89,Iteration_90,Iteration_91,Iteration_92,Iteration_93,Iteration_94,Iteration_95,Iteration_96,Iteration_97,Iteration_98,Iteration_99
0,46338.57319597231,44693.69058077561,45177.15384525234,48031.61608861732,45206.16289582426,45810.41620222952,43305.878997006555,45042.8163751603,46537.66619929971,42873.03967549095,45949.32312884019,45838.01149016283,45797.08606126603,47532.19148107674,46407.90927332237,48368.06506726572,44325.75795298684,46253.960727271406,46229.12746863809,44411.546475313706,47759.580397323574,50013.33795578135,46306.12361415921,47197.38203437493,46588.2383162897,45392.87744338841,43728.750595921694,45539.20667627903,44545.76129004429,49375.69622295749,46642.37792200814,46353.61944287081,48281.207893164625,45317.373345716165,45917.28149485382,47222.08284746235,48696.914332823675,47976.70871762583,47664.23051032613,47476.55199911388,47999.126653089974,47772.66217671479,46084.766592134525,47670.990418361864,46163.502544181814,47840.05117330751,47123.710723276854,51334.363257941324,47854.68947670222,46067.59064812445,47849.769655937715,48784.96123280699,50372.52548004487,47435.115775838356,46201.18519764178,49395.22144819361,46611.711973596204,47895.473479522225,48187.27089722843,48487.766212041985,49500.95177342054,47845.53427266756,48419.146863987764,48800.668203198475,49061.025390674404,49057.675886995334,49523.20693026709,50065.542203906676,49585.23425789054,49713.75029575172,47401.29183021016,49361.02046479432,49912.890464074575,50252.584690799755,48704.38033934857,48808.52881080633,48969.33076620062,50256.72195654714,50855.14296900823,49347.081035445146,50822.480784921136,50040.42852429325,49838.63196832567,49809.31042640243,50864.6699596786,50485.972363305504,52529.3252839079,49412.75513297543,50851.43503536331,49869.5493023989,49601.06368550206,50504.58075458113,50708.11541954981,53421.892938921,50522.86819850558,49699.317492694645,51071.33721076752,48973.89111704076,50855.79686429915,51014.42275406564
1,46430.280689301384,46804.274998217756,44223.942618431094,44914.82061042876,43891.26568661997,43323.79327504953,45904.54361491892,43212.83478986106,44768.67474749709,43835.56474162767,46545.51914262942,48729.09783541969,43526.40577453255,42671.43861209651,45639.58314935383,45935.206333275186,46331.478731786316,45295.90290978106,45762.59023828565,46749.554819576675,47895.72756567378,43126.876069578764,45743.030230883,46734.08974793654,45002.47416179757,49237.809208749175,45582.2075812181,46572.1722774705,47556.27657390778,45849.14730932558,43997.961163353255,46228.01236974187,48492.91332379293,46494.657309822294,45798.64946570359,48492.890031657065,46694.676971311506,46495.73432426347,47520.42097890421,48477.720757539886,50845.24913345827,48665.54002032318,49190.318497787106,46893.10823475954,46230.451318309395,47813.9699681066,47935.96812532841,46367.98099442981,47670.05291376726,48510.590812025606,48515.1959617819,48764.82104043171,48537.704702424846,47543.79161581069,47599.98463420515,46774.696515941294,50697.92171725106,48471.78637646655,48228.97489868534,47402.10212737674,52319.2799138294,47360.18842047391,48227.36377682643,49328.527026351076,49609.956400694544,50097.62087888199,51169.13020932311,49663.393813927454,47873.175721251515,48880.49162599355,49600.62918498585,51690.89127822339,47762.513724713994,50790.80663472564,49687.66104688263,50482.301416665694,49492.93919306439,48739.99077352771,50546.40666843782,50495.85417174759,50891.23686627837,49894.939615097275,49337.157381468765,48400.662080959926,50940.0777506172,50586.96525620761,49228.778895023366,49729.25747512795,49866.574521381895,48924.43663861136,49651.73001060587,49412.24380443987,50178.277800665564,49931.243297049055,49158.710499059314,52651.45570074536,51979.62867786347,50163.50640993771,51187.04975453358,51375.718580839166
2,47143.95453859226,43594.55887649665,47067.14784539899,44210.53150617862,42886.448729617776,46573.56081164574,47616.5965221046,49917.79346010025,43412.59575423812,46746.325640729716,44905.67302575893,46998.37647455752,43240.808577008975,43664.12961965847,44550.65787155182,46040.45836688418,44908.998874151686,47114.74699619693,47771.28210260386,47127.19133226896,48831.613938117895,46941.83012194178,44386.29859678907,48562.947483659475,45497.29831822324,47946.99151920246,49036.505623461926,47346.30590758999,44384.72425844251,45346.867974483444,48838.373367606386,46622.02889240288,47059.47763757939,48138.236624245415,48098.76014588946,47534.342752292396,46874.50658056622,46784.7913354887,48550.88313981771,48163.79595854345,47054.66605971869,49029.31787702961,47362.46070945231,46405.991178589415,46604.107688201984,46365.93320040551,47411.45767402642,49542.05181238271,46811.23384404931,48224.99595507603,47146.75736527706,47743.041553937255,46147.27863378927,47921.411728233055,48019.14932098259,49035.70766057974,48682.174754687236,46918.4246398342,49895.04018938875,48841.50414476537,48885.25732154994,48685.533493208204,48117.43927737374,49085.48468969161,49458.14106437361,46827.23823985795,48353.486995184685,48756.987395852695,49423.95920066899,50581.24654331454,48344.39856725708,48728.11071624971,48776.55183689577,48513.41561730544,49093.47461763103,50407.35157325928,48437.2612384747,50137.26250133486,47870.65211270727,49180.61313718222,49495.03269006919,51690.53256119042,49679.905448321406,47729.00303533162,48019.33331470743,50186.47281748947,50837.05153801639,50651.596365423866,50500.90343913432,51545.6329951041,49924.76498327627,51385.655419650335,49003.0886865503,49772.54979583185,48988.494196306885,50500.220612403136,50775.2850530803,50983.55379437769,50995.651532927695,50165.20200226944
3,44657.566480056215,42378.8152086485,47550.23829508413,44643.57196168082,44380.20690520173,48090.898333845835,43195.351505077706,43469.81388987782,43591.377014620964,45428.839171443615,46343.75830035032,46924.11496246698,50076.282991400585,42004.742387632046,46866.733470292966,44982.2282292662,44999.44645062645,45010.49616472165,44603.83144776877,48892.69647327895,47575.11143219826,46310.05171095141,48494.95853731254,43987.64331278209,44349.61188316745,43089.80226360896,45482.1275675648,46887.73134605921,46855.932953774216,46987.019239113215,44663.11320346271,48098.12280621099,47301.01364873642,48099.581422199,44238.66972310817,47582.78493924884,45432.56391939419,46660.887481871796,48080.2883374105,47495.308030860826,46201.121362377584,47493.80198958443,45373.45900747265,49226.89193664457,47379.26903937191,49283.07401337332,47060.307729346074,47129.757809853996,46867.01801822112,49156.51438626304,47075.79565498835,48952.32298695482,47643.89651460864,45607.44231680954,47526.134311261354,46800.49265466163,48437.7047281475,46928.65917518088,49693.66527969739,48460.67080676602,48413.56138839359,49513.85354130514,49949.31523970592,48793.5151682827,47939.325695700565,46794.50340354927,48176.740291557784,48325.56238505258,49247.73456565756,48777.055021210865,50042.92806444772,48595.313253472326,49298.298299786635,50769.68270060253,49870.178726034086,49478.32165793006,48938.4494977325,48970.11213028019,48799.330996779696,49202.60772398637,50659.1082027742,49673.082475080046,48546.29991471313,51878.84365486553,50422.509379914074,48706.200567351625,49762.23866802147,50384.6217135814,52037.92542663071,49295.90068530106,51412.83997900402,51876.47013047915,49969.963427231174,50371.464272906145,49717.18640854359,50567.06214365511,50784.25293288201,51484.466513390784,51930.4698221398,50326.713541840516
4,41458.81488439321,45022.55859226589,45644.242629156244,45623.96771907803,44666.29142409011,45521.91353244066,48008.77639276029,46087.07175398642,44839.93938711589,44686.02375062597,45315.76748566594,48449.12460177875,45417.327891164794,45754.58829936668,45041.70578437321,47737.39958556255,49212.33679118361,46771.76632073105,46226.355660739784,46211.370852771404,42353.879317540646,47471.74275434921,46547.99959892668,47075.39265635418,45329.1416202676,45910.505696396634,45933.064038679884,48224.523002513546,46111.61358585583,49957.29934336263,47476.226239950236,44942.06965861254,46745.405896850076,46022.48731676538,43788.98128741985,49491.337241562556,48217.35538036037,48022.84586225869,47543.61744528442,45365.992787071846,46729.5923510628,48686.29922704022,46054.63341230845,44038.56747861628,47348.71825577337,47530.10085667079,47975.20278147002,48848.54225912753,48778.55338031529,48320.21243316373,49638.83617063788,46061.01311109493,48821.232832548776,49038.01269106536,46650.027552767686,46379.60154204623,47430.99592157998,47606.56960550313,49474.0490141546,47799.204021820646,47562.03549524722,47935.20767945011,50140.6120979846,48834.189595826254,48660.42753880764,48806.387290964485,50550.47240119183,48168.4106407422,50675.9037377777,49428.672932371584,49055.75441612565,52190.433605190796,48154.449311685246,49022.326788370825,48095.56236069998,50610.48020341771,51479.52469611065,51503.58172621176,51062.48954888655,49574.089372717695,49456.68089081392,48131.573969256315,52116.61815225231,50520.59829382189,49581.062844044354,51515.79177383813,49221.67006778376,50683.045870897426,50160.7041990425,51026.8103780026,50392.12779788999,49103.794384706955,50648.58571669416,51637.552135426486,50669.346913253205,51483.36537142736,49848.69084055679,50854.67569587647,50371.65716204068,51672.28275609424
5,45056.684812071595,46296.46528095436,47059.31433509341,46407.86929226064,45724.10584472394,43551.62152218757,45358.77333410868,44498.60363528766,44890.556195995734,44901.93677734729,43931.27871461459,42339.19106513888,44597.5035728276,46113.10786611487,43593.35233613341,45935.18044794825,49113.777453556926,47713.6960893999,48780.340651288134,46787.98687852386,48101.36438022656,45107.80220642911,45302.38890609816,42036.21633872068,48330.81193166691,48937.66104705006,45710.78951939639,46241.584165509754,45531.910066720025,47345.47075939118,48536.26061464495,44232.943154804845,47557.2739038177,46584.99234242128,47229.66679044731,47801.35777823857,46904.64731744367,47090.81075698487,46991.93915022356,48766.18432803943,48025.73400333465,47799.68135234636,45743.01392281458,47072.607331532985,48924.80349114151,47779.70523352691,48699.23136403832,50273.42377438914,49325.37191255748,48095.884172581165,47342.79032858514,44678.43826708893,47928.022436233005,47782.37746763537,48783.752109026675,48133.25653826624,47980.35140812099,46173.679552713475,47318.82882350597,49178.07116367828,50789.04775542102,48575.50626448651,49162.86944854013,49987.132283532985,47890.971629234846,49382.905464457246,48111.41187240141,50090.53334644536,49300.14299606417,49531.820763669144,48331.76405633715,50119.33130003548,51751.58025522826,48278.88822489219,49101.847421682185,49804.43381202432,50478.256586637784,49051.16575284825,46636.694228935194,51258.27469520168,50664.30050403874,48055.22853575509,49328.988062002165,51669.76647935433,51591.35265185633,51115.75444753988,50032.806733907535,50356.4691226199,50202.40752820721,51511.92245190578,49594.627455441165,49731.32821449142,51549.29490489046,50594.01861064806,52000.247923944204,50128.796145584885,50767.387338594905,50031.84504724934,50946.08728614263,49669.307756701084
6,44122.25984228107,42488.40595705298,46357.65715489836,46452.13564775575,42190.8699722973,47643.39347468131,49722.76094793283,45504.12624121189,44377.46930809683,50398.16801545069,43351.8235362345,45700.84766034413,46030.997660995796,48050.17251318512,46450.23004324239,45079.54542791558,44395.91919323689,45467.85076244348,44443.20977299885,46229.339990073866,45299.149211983335,43868.684641706495,48341.56659473318,45602.18765212047,44448.583599402686,46250.52578545747,46682.66584254337,43921.40172659987,47209.5160916186,45148.76094749708,49431.389454036835,47674.25520166801,46335.90849977442,45882.24834452398,46904.10875114757,48029.25658374008,47144.272283356346,46924.582715614844,47387.93254421997,46490.78572666659,46931.273911140604,44507.853822047706,48926.375381936086,48027.09384196855,46583.82848501986,50368.240474066835,47908.11974260281,46426.142308773444,49077.369211096084,48508.87137205951,48561.19246531816,47521.94478287469,48749.445839438726,47867.07619319341,49000.50517306365,45856.90554311951,47833.84819627535,50662.03517082687,47538.88384464204,47812.725545288915,48074.37577539912,47183.98387318111,46027.33770696628,48535.189419993745,49044.28935903281,48875.91053834266,48826.145725662536,49111.863824982436,50330.024769408476,48958.4767455921,48574.40087999542,48978.458152295876,50027.25174299413,51028.81842258703,48776.75917887596,49656.08050731412,49981.32976893504,48574.830859264956,49749.54600059591,48202.28616039052,47950.77634083713,50299.17572475813,49564.883606111776,50241.778001907034,50072.36338746407,49148.486010615066,50166.04410466662,49028.41595584864,51724.30569133474,49050.29605221452,50262.3199157763,49501.305515869186,51125.43616099616,50319.99732741311,50206.59388932782,51556.48265885131,50845.47200319191,51353.161415510905,50047.279451650786,49735.66475046524
7,45192.97433167224,44489.581223947316,46237.40481031188,45040.16228846185,45604.1025679835,42454.7318641334,48659.817203690334,45139.05861386863,46689.771433616195,44108.89703934991,46132.47752985024,43451.830568674595,46491.678344693624,45189.19510050261,45897.31260052253,47070.265886489164,43930.403000223414,44904.00300084016,46839.257914505615,49565.89373282304,45988.67888875991,47223.91902611397,46162.178981559766,49483.87556741532,43690.75845407314,46663.96461267696,44033.99781418781,42739.78419489293,47156.68377906087,46971.895098929584,46383.158131448276,46717.56594209116,51615.00944899238,46612.73729295285,47821.155108287996,46158.97152487519,47616.615246877984,46893.73677257011,46705.912509968875,49992.77151472593,49115.108098634475,47680.02324522739,44277.663072661286,47097.365791477445,51450.90525683378,47406.44331821932,49312.324887443836,49827.87850934706,48207.67806707633,46829.411304711924,44753.70098390424,49005.199924231965,47070.11172958572,48444.31953506408,46636.59882817392,47988.524530722076,48437.46762844802,48798.83359024769,47096.28691306662,50088.217774646924,47887.53199733626,46611.49409622338,48622.78316562093,48860.369697441565,49074.41500646984,50586.335845667716,48716.26139591697,48918.149962494164,47817.44876157301,50144.103653386715,49456.89297153331,48818.089199699774,47181.91807839411,51065.619918623204,48100.91834309803,48884.2982258866,50003.49724561763,48350.452945188306,48097.98933281475,47490.15367568443,50621.91794341998,49329.210994245645,53056.63633994157,48990.750007143484,49135.9507575373,49570.70237294924,50459.67649735313,49798.249358134824,50945.66554733585,49424.24726204154,49098.073585508486,48765.97899590811,48433.04065029082,50141.843208682905,50412.406492525195,50166.32108638696,51971.158102846275,52006.34288942807,50635.02758717166,49385.47099812723
8,43979.9308055009,43986.38047331823,43950.31709751667,43944.95285218039,44089.953317236854,44624.82546786423,44254.32826388557,45785.966052855954,46107.303539593246,43980.800713840996,47778.4267995999,44000.56075353762,42991.71896209407,46428.27827153819,44481.183969100864,46443.60308316911,41992.71801151246,48321.52598856153,47191.025576793385,43709.8305851499,43819.19095716995,48963.55513659329,45153.5254877366,45066.82713459204,42870.06305107295,45963.47306452361,46219.686905287126,47748.630177705294,44534.7575806846,44421.86241313337,47506.92475129498,48407.18716874169,44568.38220952513,48622.27112944961,47116.57753336823,48739.069123659094,47078.40274031042,43550.72656319188,47081.98683784334,48896.02606517029,46140.49814228582,46931.11666558967,47295.66521314588,43520.38195715502,50006.55327227913,46473.54109977939,48486.713203659376,47729.46783431776,49624.02598594459,48519.718444622275,47714.22310134754,46896.84801272423,49210.48062789508,45742.584947817406,49118.25655017935,46904.575156312,50010.52375755615,48661.302141049455,49334.94540150619,48679.361622317905,46437.92691700494,47624.97064801368,49588.8934840771,49022.7139576689,50317.44830888751,49426.98954742979,47839.95773115681,48112.56604204785,49242.841764557765,46468.07559532715,51189.70207296735,49813.046989575305,50769.14872025599,47628.10158241382,50887.812847430774,52040.6760550583,48141.08643009667,50515.20864106081,49728.4835760225,48117.08217022841,50377.21492738049,50795.741590599726,49335.781695973455,51249.2157560244,48363.53610569119,48615.99292834415,50351.202196720675,50298.343325953836,49616.75984490923,51196.17388049335,50975.78714486657,51349.88679324187,50457.09882896357,51211.553892161144,50275.62759228679,52680.696894656845,50064.730285886886,52811.83370038142,50971.110254929765,49762.04019938813
9,47462.54283087948,45286.08400164067,46637.76051468964,47351.38094650733,45838.45494700728,44263.91682076782,47066.699713749964,45425.55425991359,46669.511989717575,41844.95383230376,46369.992995131994,44581.070763920114,48522.86902286552,46835.79841841954,46249.70144154185,46718.1338980281,44317.73119493731,48701.29813017192,49349.51523013675,46790.892591407246,48785.68335035856,45356.91608031783,45057.95162737337,46459.046948735406,47142.54309705468,45895.51791646915,47416.63147342466,47112.6600130414,45154.13195333807,47554.63048438795,48137.024952214684,47139.10947912966,48678.84471340704,45173.89430975457,47758.27759905719,45387.06889264235,45541.08018151127,46318.9709312262,45932.76094510413,46571.533316546906,47116.6447052209,48679.69625170328,47089.99263601736,45371.76983743073,49262.76165175989,46562.95645051726,47706.73783406148,48461.457689830735,48181.28693418561,49451.812902248785,48674.779986867834,46939.88628895023,51043.06130972227,48468.28805015798,48079.845521513664,49586.436383305576,48715.95788777639,48966.2834109495,51687.02205882511,48228.10413459893,48237.71815114182,48842.16293465794,50082.35909611232,46969.253690220874,46484.383429171045,48229.51820309867,47039.29244912886,48554.67054673462,49715.075398455825,48137.21269637962,47582.11695307868,49383.083207919844,50351.640718741015,47498.13624410991,50409.47409748432,50459.35148236195,50664.227719361596,51006.99490302552,52129.46973599231,49402.65193528181,49966.025270750186,49466.15184827256,49971.78164234855,51632.85244755918,48696.984989380944,49266.98230647233,51614.34180201677,51302.03683878302,49970.20168651626,51240.57410414083,50789.557372628544,51974.50954390702,50647.55772980883,51615.37610869656,53194.87186688999,51317.614057302024,50863.92248100976,51542.125565218055,50607.320431935856,53149.17093497226
