Simulation_ID,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_31,Iteration_32,Iteration_33,Iteration_34,Iteration_35,Iteration_36,Iteration_37,Iteration_38,Iteration_39,Iteration_40,Iteration_41,Iteration_42,Iteration_43,Iteration_44,Iteration_45,Iteration_46,Iteration_47,Iteration_48,Iteration_49,Iteration_50,Iteration_51,Iteration_52,Iteration_53,Iteration_54,Iteration_55,Iteration_56,Iteration_57,Iteration_58,Iteration_59,Iteration_60,Iteration_61,Iteration_62,Iteration_63,Iteration_64,Iteration_65,Iteration_66,Iteration_67,Iteration_68,Iteration_69,Iteration_70,Iteration_71,Iteration_72,Iteration_73,Iteration_74,Iteration_75,Iteration_76,Iteration_77,Iteration_78,Iteration_79,Iteration_80,Iteration_81,Iteration_82,Iteration_83,Iteration_84,Iteration_85,Iteration_86,Iteration_87,Iteration_88,Iteration_89,Iteration_90,Iteration_91,Iteration_92,Iteration_93,Iteration_94,Iteration_95,Iteration_96,Iteration_97,Iteration_98,Iteration_99
0,43441.983622249856,47949.779920298955,47751.5179936263,50021.52769925967,44858.36168829647,44965.92126349457,44747.34104534432,43547.985424259765,38074.18659372391,49404.81934730645,48905.55355197354,41345.81902985147,44781.7677461512,43705.10620202673,43759.400844637305,39092.60783994997,43854.366993729265,47710.68529210014,53917.634426593664,46918.11132658038,45976.95991457116,43865.757396455665,43523.63212410553,48405.54480108662,46234.33910706929,43198.532063444385,41892.64913865425,44573.29185443702,43312.525847906065,44931.805790070546,44144.546426525616,46053.9973305004,40688.992572821284,48161.04191261121,53486.561328927404,48344.89964295594,45154.18806591781,47205.47370847393,41084.05821596297,39175.8827591062,46647.55850558495,42378.95678368863,39720.933118746725,41141.70390824522,40271.12151390788,44248.354242591486,45610.26769055647,46517.56274746642,46467.924062408645,45951.34648653669,42801.71561631183,41398.81172998752,38497.14179668038,46771.39557503667,42613.075393752086,41797.88452331495,46815.496343446284,40095.4315634388,45570.335240527274,43777.27925813553,39436.52015272622,42444.29670277849,45729.64492418014,45091.36002992156,47260.137083974594,43486.220410419024,53124.68134493869,39317.37568641066,40916.27634387055,41926.44704129293,37510.50358301256,45315.77115528413,44800.394879093605,41899.18489778272,40057.544115921555,36912.79731036382,39100.635974429286,43935.43166362348,40805.93193537128,40048.1612732143,42948.06900431372,44978.92456210976,42024.79418620029,42137.75439807528,45450.564887965345,41551.669530554456,39929.46857056927,43002.48645736157,39956.56119316161,39530.02838984587,44712.31122081021,39631.40801901458,31998.386142746393,41529.89984468648,39087.88270847841,39357.590342124466,41661.51745702844,39610.019234690735,40758.51132701028,33528.59221377365
1,45824.16125031285,44761.77306954827,38859.93211104307,44915.15559856251,45192.73667181128,52882.374759952916,44384.444912700405,45964.95149546756,44888.92233694322,41260.2302796175,48657.033006448066,47406.18570459768,47531.30223053775,42089.960144656834,49488.94179499552,40514.076599064705,46877.942700160864,52009.45800259193,41830.2837595818,43187.84726527113,45318.88436828045,43388.877906828166,40037.87702058838,45219.40151937929,41600.62811607646,46515.49577803258,42057.84245045183,49959.790096056124,42493.58946452404,43969.403148141835,47603.25509558294,41061.23418741134,45727.87179073322,49182.85681370377,39856.05364940407,45590.82834730337,45831.62494159496,47501.83318968739,41041.75772519014,40774.53883813031,46670.213009974075,45950.3509543462,45801.577121106806,46108.63427039032,42823.92089094883,45743.211830915214,45937.83191455578,42714.075462315624,50970.47843566322,46516.26534691772,41187.828808951526,47100.97154762826,41881.01865527257,47518.67073197585,48707.50585282369,42373.81658127453,48082.80361358183,46320.89896619679,47630.592511982366,51069.73754449263,44214.75802879081,42588.04427405603,42153.55382519832,42389.407088110594,44753.27452987486,46091.68631941326,45885.41055785606,47646.98639691528,45041.6060540093,49651.309046903414,44153.09813363854,53704.54133308678,47002.13551284802,42257.0958194679,41573.14400620444,46543.91172877819,44284.91908695728,47284.801581094696,46514.36039863534,44766.947479498005,42290.260102181106,40152.488881005236,43571.152153385534,47740.47614183511,45685.099981216656,41013.635908121636,45554.17896272378,46233.01561513228,42171.656204156374,45491.92033902569,45186.267899027196,41342.49504694201,46144.91955311451,46794.51048437835,48465.76397816089,48372.16656651169,40591.45802253731,41998.959872271604,46648.11285506771,46644.11504291907
2,45076.58180629068,47790.12476419966,49599.54025066728,45023.38039277002,49258.820249510674,48162.248353613155,45743.347706164495,45563.77895056743,41311.790810687955,40197.54114173704,45528.072953949886,42261.02746294602,44873.16434547322,43289.0792260798,39276.81118406241,46143.37453419723,43673.49822275235,45256.635880130605,42142.01512438649,43928.584808336855,49993.216451625216,45411.36320022746,46758.644304200534,40933.210217996675,52644.91506365588,50898.924026625704,49362.99357104545,47652.0511283356,45048.45849043156,46414.63685397354,48353.66318078385,42988.57680807774,43577.60401849861,39658.7764509103,42530.178951178386,50316.16553794609,43930.40930831882,43982.88989916613,46016.85450379878,39840.872617041525,48025.22140828022,49052.5019371932,46207.34804947331,50284.32315673437,40754.13834836513,50899.89055280591,42661.62750966511,40904.256853557985,44240.34572413866,50990.418177511376,44937.785149121446,42015.70669900454,40856.18408166445,44663.62078481148,38616.122971015524,40839.382906900995,49937.816485949064,49234.444182883955,44589.08113107293,43509.87273198545,45187.2284873819,52513.59017104103,46295.921628065684,47911.16215987141,44352.13591733904,45194.869142774915,47070.92062971854,45403.50344903689,38928.39365603629,49097.730437367885,43031.572231131744,51756.216453172005,47197.91524085111,45227.11173004719,46405.84684833099,44652.80675659676,43443.41514863245,45664.314436114306,47831.96949499733,43513.5048043361,43008.8410722999,43862.43634906765,48046.435500309424,49648.160791879585,46158.4445182159,46860.20522891432,42984.95725675164,47805.61487984744,46765.55843348824,42727.59053463205,39279.450841818296,41094.17566629806,42858.55126982012,48718.19941678968,49969.151282685845,43593.54279848231,43694.67087113186,45837.19377911189,45038.86882903432,47978.989068717055
3,47182.24950814388,44007.14637890094,46037.33232796301,44583.54222602341,45310.3870879767,46904.50248139812,42381.69381365289,51695.63928219347,41780.74437920095,41114.59643907926,48705.95479520022,47533.32062068139,46997.1834145669,47010.705629645694,44960.81032688987,42128.78601124534,45242.574586219926,42833.08252316124,48120.3831469368,44529.41637919316,42358.40897026396,43971.56530671042,46321.380653682,43196.08143102728,42368.89473418742,45779.79907677412,45783.893027547914,43377.781838812385,43492.67742202137,45742.55979954443,40366.13010720856,40496.11592199502,42700.9784919922,44316.969114522086,45994.90420991361,49721.139894238564,47744.51079424646,44488.196704117036,44939.148134711395,41791.906033159015,44940.757964824355,44076.29235545556,46032.699393081886,42352.86098063257,46661.90884557175,49904.764521608246,44651.96752493805,46285.47751071661,47208.46077347556,43716.094489965326,45717.09594179333,45040.295682501746,45312.56351535626,42526.36869166251,45078.432557628614,46593.594531985436,49643.65954494414,48069.666643472665,51890.18386403698,42544.487798758244,47791.42603750617,45586.69441836273,52007.36938629655,42413.445486863515,42312.89010502151,43081.94353457913,38203.53368220862,43317.583930621564,42570.77548302816,45481.26011672386,46093.61912248691,51003.746685490834,48041.35628219536,43153.90830188031,42125.073051685256,46574.14134882082,40775.253737533945,50860.66805073393,48774.20838630812,43498.637913264945,39517.96950690919,49332.39159732932,44633.47249519162,48961.012198315075,39897.83149185803,43081.99992654793,45016.779839098184,45150.337900047176,43559.79049126642,46993.119783512,41583.6146259757,44544.385647931864,45384.94602147808,46646.204268987996,47277.16760988445,41401.14530611882,40090.83465364601,49088.565830075226,46063.404838334696,42604.84308301903
4,47367.55669828447,51893.33406443843,47402.49914788925,50478.26338444984,50002.22722613837,47177.946670490725,43310.53118451868,45643.94830367786,51199.287990773766,49172.67690277272,44905.248247259384,45126.83457862414,40612.72121946534,50702.69221514987,48845.5044028887,45500.74491206001,46509.117010041824,38851.20914796248,44169.78633993593,49926.791707330885,48726.81019139485,46573.3932977561,45397.34601681265,47922.234748765615,44402.59796206683,39905.305004499205,45141.77891465977,46380.89093758293,48612.77061155569,40337.66851590775,44485.471697823225,44567.10911286441,41213.367641862984,46227.2211464212,46987.537297117364,43595.037139553184,51030.841802134164,43361.88635973068,42883.74420692118,42720.27592892471,41562.12013719401,42312.128522661755,39441.21864875896,43346.69092307342,44072.80569856664,36513.21385005127,43421.236307539206,43811.59673834185,45252.74537627034,47390.18576759617,46188.980111368095,41408.77548182563,40966.71337200786,45106.939337484786,41430.52270553812,39181.33824991551,50637.65761928595,41975.379322921945,40894.11251438656,35813.466648308495,45482.06245318801,39525.47398031975,42707.74740677866,45645.04864562869,39363.488122030445,42658.38424985653,47209.45304595352,34401.03568066313,39598.30048158569,39226.67809309349,41452.408658311746,41826.867172202656,38513.05048366182,39744.38913082219,39293.35686222774,40574.44411241652,42324.57537036214,44469.360747143015,44861.90767379701,43505.77105041445,38546.71716108204,41262.18032767974,48799.87429319584,44377.817747912486,39650.991472210786,46052.42117538308,39677.37051184019,38709.598549914386,45244.119972749184,36516.19297903263,34512.27537950489,43577.76721545008,40583.560476121376,40831.81195556132,39196.98226736902,39519.6495071993,38746.16952306081,38138.236764600064,38848.59435912703,38676.95603578336
5,40155.269209423444,37411.66669819175,41006.875983909624,40051.359261883976,39518.19453285577,37449.33163500224,38578.57416642376,42912.20141759192,42168.59156605459,37508.18685300828,41024.93408444423,43182.21657256751,35506.38794889646,42657.94453480771,38869.50296127228,42886.52180010417,38688.883830377075,35426.39747989374,36064.59147150115,41497.30617275077,42245.25341965016,38591.03528451438,43599.05142364315,36309.39842700196,41485.51434129828,37892.42492843691,39752.508293416926,42060.76665730344,39226.47521088933,40819.927308969614,45341.34911069833,40345.86520944512,44936.841021234715,38718.27139842896,44099.413773369306,47087.767060852755,34636.192145047215,40066.09679865609,44533.499493846415,42107.83052223818,44015.949623071014,40966.23730149928,43246.784289610245,42542.23688714939,46848.01370842249,43995.96488038207,44332.8537711659,42005.22603164043,41833.59947690741,42080.46026362368,44797.600390964086,42258.910267435764,44604.0472188362,50388.757303140155,46605.78086916323,42845.613585951796,47803.48051052058,42724.461836634066,37579.01158844097,40945.84097678148,38255.8900951415,43188.288164199126,44442.77719724495,49819.14485382636,45571.420121297844,43894.83790377123,47320.76452645383,37661.74074854851,45562.04739402822,47345.55649922617,40218.01896299946,48680.214958464196,46174.09759489122,43832.6948371336,47257.22520386334,52569.247448004375,45955.70938992455,46238.75032060552,44045.196636622735,42866.35660357125,48313.64026950724,42987.80448436435,46026.99175708186,44340.18303903849,47472.12938178239,47077.819747019246,49400.93590243336,44519.46267517996,45358.62242928343,43160.88540242591,44941.897931392814,47641.70501208696,48927.414078315625,43624.82853838918,49429.20359080276,51055.21286534756,48110.87047819463,52864.33245877167,44453.1674921615,43017.10494940347
6,40545.90145145876,42744.51634542677,37290.71544557069,32773.018295473536,40860.526976605666,48812.96442041072,39775.134521297936,40645.078886790325,46268.58014497202,42525.24241736136,41401.02602541611,42192.55110678089,41649.265432720524,37271.97774909046,36697.27448493996,47098.456019403624,41719.73985740964,41522.32561827524,40983.9987477474,43842.868799806995,49537.95293970137,43161.49701959343,39673.67771134899,41199.379881009685,45124.15839202651,39902.714843155176,44565.57260328069,34482.73131236089,41244.183351169544,44060.5530936432,46185.61387025441,39572.80169738354,37453.77820620833,41498.980805679515,38802.69957925036,41997.83014121298,42524.163490634586,38394.897471515396,45261.073839223456,42254.49129880952,46285.75440909994,36995.2931300424,39714.68202395172,44693.745828078034,40553.95728447026,42655.304076059154,43254.76242870821,43829.6514622831,41225.72751319153,43942.3634677584,41031.2136786032,45763.758106050285,43309.266814422,44243.59194298041,52041.94770519088,40346.15463416882,48403.05922052488,35520.37868774504,37450.20480526948,40201.668923116944,40474.333473544444,44964.977067175634,45311.333629177476,43639.11739575389,44045.64303161264,46284.806830940914,47332.98307505304,40492.44888582251,43650.029700135194,44656.10044546625,46502.506138488396,42547.66716492691,44805.40132900934,45257.563792103065,42978.01890125273,42972.421823197066,45689.72386217684,45027.33997728538,47116.679577297546,42215.4306797946,44534.384767353535,44993.78136230123,48402.34430397534,42859.36279006958,46690.280355890216,46818.918634222246,51349.279257384,42928.829185735114,44119.07560424624,43293.391109814664,41020.34301301749,52081.34162398413,42532.24656601331,43963.58026678207,50856.91747296756,41107.22916696943,49208.2038095984,42336.90795349217,50918.71608618761,40056.39140146926
7,47675.25589504838,46619.81097130767,45114.84478079722,48065.11435380541,46596.740669412204,50177.03066891751,46941.286051476105,46986.01614172851,45270.78435525909,46181.410367728946,47277.89495338388,40749.683365721015,41837.321800776874,48459.25318168077,46556.870412110424,45350.647263065366,45927.67545449613,46910.241255137145,44000.04175028277,43165.99053527825,46212.56340217117,42384.35862678341,46750.85326273076,39925.46984017628,48596.32834247236,46744.63517604497,45980.91131142056,48235.52023953473,50349.72024248227,48195.47915755297,38987.990338526615,40713.43451452656,42737.95428874757,44750.158027341335,46252.46846146079,42202.872323161435,45052.19910087211,41966.61300030775,42356.27434355708,39741.10873250993,41217.37078416228,39775.61936303783,40907.50862077557,47331.249708741045,40850.812444626674,52241.80442566147,45326.09203029359,44268.24327259127,40859.315709480725,45776.34514946231,41622.60542068559,43784.37080080455,51515.50284569247,42945.13357340637,46859.49282593235,40860.94655070827,42928.44087081376,48636.2590037306,40892.695314069046,48628.118213873,45022.38195103328,40886.97500400703,44639.86638113928,45657.62878426008,44464.539353842505,37379.32130039094,40006.494370693756,41470.566628861445,41953.73221879904,44107.36283337429,42619.14825349147,37706.696031925654,43125.72403231,43792.25822329207,43559.006201056094,45155.46801874448,44294.81352081912,43024.93180908655,41260.31820818081,36099.06642689024,42718.21264465862,41937.32787164923,42071.07248104539,37045.71768868814,37601.22513129962,44359.98812056428,40792.61542685062,43029.28708007724,40868.39658139526,40802.290353457094,43638.871815486826,38914.31343536097,40802.53598116065,38944.961500386285,38963.14742575194,39293.47748772864,40922.949281349094,38609.41855209101,44089.126672542334,37137.25663289759
8,41320.225269261195,33895.71636250177,38059.5426484322,43551.46812183819,43059.67636017512,41259.23841080005,36105.95899568075,42368.56056969695,42848.53525431399,40786.818718359624,44621.21774896337,38590.79604936139,39216.94060048493,32968.43486611731,43933.34702237151,42064.9643437105,35749.4880908868,35574.503402038936,38480.30926514004,43883.13975777148,40452.9878522578,38909.530351535446,38335.98469768837,38263.34436121243,35509.1991334255,37904.01010640837,38412.5339834169,44093.48526575378,41449.48420972881,39408.633552849176,49512.32493851192,40067.44906856986,45997.355588653896,47520.880718254026,37380.16732353691,42711.4289597829,40889.34686254823,40699.60354717175,44464.07450065079,40764.39016902125,41241.18188003812,42361.02223298896,41774.819310891944,39284.97937796524,45658.011926623025,46537.1171850425,44352.104739037946,42118.26383996107,41137.26503768409,41213.06226328184,51078.9579034582,46607.14317107387,40988.41542530099,44274.507795273596,42658.06973786386,45757.05009258902,45698.79308852185,47497.85392280054,41379.229433291075,44506.870127359194,38647.073890560154,40289.642351759016,47212.96106082776,41412.35732204841,41834.344371499385,44569.46975739944,46889.90196537559,41342.72799070463,33669.492556048535,42094.073503928645,48807.50479894403,46118.234183456014,49327.308463028174,41539.80450679154,39986.25517579825,46783.18567150243,46141.81013432952,46422.218269651676,48500.74077163334,46935.25034237782,46954.54195461486,48015.29517143638,47405.71302097829,48612.51385018257,49166.6605786854,50911.505174071935,44003.39584111631,47689.31389522954,45037.18744271087,43625.54053363564,44157.10733617919,48018.201090540315,47843.4586803657,47857.076069320574,45924.18097424279,46728.09892094263,49404.68741468214,42092.52806770808,47008.147644264405,47287.859674005726
9,42065.54937965144,46993.12218528455,39156.52378956454,40913.402260645824,41080.8560707027,45401.385848778475,40119.29672060418,41387.81837741459,42510.92539674949,41233.51283046399,39278.483140509015,41398.865755052364,44284.10644803612,37634.34296107653,41415.40194716899,38820.21945280071,44955.46234387263,36327.82210671213,39484.17736145819,42550.51234364081,46423.818307691305,41274.44764941493,39778.91707013732,47645.965248472516,37063.32521563771,34731.497706492504,43246.4300785545,40302.51739116255,38711.8529649797,44317.24568186299,42901.37440527996,40386.86757356166,38165.6521868794,45125.1967838298,44484.68417350812,42157.38471065345,48454.69293280708,39191.89036391793,37805.18813990952,40543.46993395578,42682.40757594523,43677.67613682251,42197.741584556716,44166.98130924979,39106.18495370169,47801.86491485262,42989.64148166903,46898.578984314336,44490.660502348044,44926.256765938575,45358.60883209659,45038.72799811602,45733.48050834382,48000.76284389853,44447.04956122652,46157.70091317213,43672.441737876834,48638.678119741344,41936.55473442044,49934.72655703178,44113.91880036234,39734.65098635356,44793.77251155291,42275.180150625834,47215.31188201644,42507.562862191946,43238.87968037937,38690.843398348035,43360.70058648376,37122.374033575215,39881.00591434063,47453.52891986378,47605.46959859175,46523.08035932805,42137.999574309746,45150.35396337597,45362.20924864755,41737.67743902831,50326.026080806405,48393.41791570074,44949.48030031073,45813.30741205523,46464.80478341197,39335.135289729136,45148.426315328026,43827.75141650806,42875.62404914435,45251.994214280094,51974.81910814069,48343.62644898373,44535.863596331415,48266.608334683144,50982.98790212571,49534.58536107844,46837.281830209206,44646.97402851388,49022.19339144227,48117.73909193546,49793.911233381674,49032.549765382304
